"x","y","fips"
-1266723.72808883,267750.26743534,"16061"
-40727.33938852,-723649.00341219,"20101"
154447.41779473,-620854.13659674,"20123"
746096.48521966,-1396888.65908644,"22021"
655834.40359933,-1321494.48712567,"22027"
755451.2852095,-193693.05780753,"55043"
2106032.04789237,-539136.85955751,"51131"
2125638.95104971,-664917.97834628,"37029"
884806.03141117,-808492.12121282,"29017"
1537805.75429116,-734691.06018003,"51720"
2036862.88438071,-570733.90472816,"51830"
724859.29826728,-887700.30711714,"29091"
825909.62206225,-790971.89014364,"29093"
769815.9519526,-1312712.91760669,"22067"
2060941.73149818,-634640.00926942,"51800"
848277.30543266,-827713.71396776,"29223"
-145893.94730125,-1508577.1176841,"48383"
112018.25907159,-1533260.01155456,"48411"
-474641.61213354,-708439.24446887,"08043"
-280815.00552026,-1489928.66442367,"48475"
11428.43249788,-1358520.98108607,"48253"
74872.56912136,-1580763.73756696,"48319"
-87257.80676051,-1405890.32743576,"48335"
-424676.203585,-616515.09425712,"08035"
-23792.11251567,-1310079.35074289,"48433"
193974.1682838,-1105476.21486407,"40051"
186845.03009141,-1047153.86916743,"40017"
246021.78514086,-1078328.75149028,"40027"
2023067.09348358,151299.25733583,"36041"
1930038.83496194,16196.18813678,"36023"
83712.81413743,-342250.18298977,"31071"
2047716.96988936,89089.03445842,"36057"
1948609.8009346,56087.0543939,"36053"
390563.54968502,-1544048.63461028,"48313"
1969231.99765186,11235.62320492,"36017"
354655.08228202,-1627540.86565539,"48477"
497998.02746702,-1624123.21785925,"48291"
1198984.30793134,-1077755.16065822,"01103"
1634850.0481503,-337758.98132009,"54009"
1523489.05474184,-514154.76821808,"39053"
1167213.60223045,-1116139.76721719,"01133"
1193544.46907708,-1352458.45807011,"01131"
1112497.32267804,-1222881.65409326,"01107"
1550805.97158138,-629057.70212504,"54059"
1841979.848762,-363008.73246911,"54065"
771395.75347433,-1227069.31686337,"05043"
897391.43142785,-1146928.70177763,"28119"
478541.96597754,-551144.89096023,"29063"
601891.52224041,-475436.28612812,"29171"
-327414.47198244,423887.10588225,"30091"
1704780.02150822,-422437.06554737,"54091"
1389403.34379706,-1516466.96480123,"12005"
1591701.82398726,-594480.60321028,"54005"
973253.46798506,-1466380.48129239,"28091"
-35787.19067854,-496883.57534247,"31063"
1188679.14830348,-1037030.9420661,"01083"
1423906.68625421,-1493749.18250284,"12013"
1828307.49845118,-1603736.76111556,"12117"
1508978.5946661,-1387546.53234584,"13205"
1071443.32455218,-1365389.04638777,"28023"
61197.79680145,46906.87168385,"46045"
911893.59279304,-1442287.56172338,"28085"
1509281.33155179,-1427676.29597871,"13131"
1269385.13408069,-422693.42849911,"18135"
328969.81771077,165737.21930586,"27111"
2045597.5188989,-551746.97692416,"51073"
2080808.22000835,-353903.25377804,"10001"
2009663.29653717,-554542.57023009,"51127"
11031.87801229,-675591.69807937,"20195"
701677.05027683,-983069.35969959,"05137"
1480130.5667445,-958275.77737592,"37043"
2045352.10688597,-865295.05399135,"37133"
1365922.67950757,-1123866.75398741,"13143"
880930.55514488,-1484257.12003059,"28005"
247530.28533823,-679984.50938514,"20041"
242400.77617059,-492900.14409179,"31151"
1184635.56433236,-884880.73151158,"47037"
1365454.51604878,-1223103.72705809,"01017"
-1498415.77127913,116662.39853533,"41023"
1231939.57063034,-710148.36219145,"21093"
1621502.7530034,-1078343.97700921,"13181"
106919.830039,-910808.83764566,"40151"
1553986.15533788,-1265570.98339048,"13235"
1349134.67011137,-665403.64438691,"21113"
1943010.63602791,-415390.06316356,"51600"
-94206.92907276,-1516256.25341743,"48235"
1102512.81206464,261800.01078457,"26095"
445720.27682036,-426765.48019997,"19003"
-865313.66923563,-1245677.93379112,"04011"
835443.2566138,-1488534.738187,"28157"
1288131.21922933,-1107807.414966,"01055"
1501663.15537407,-1187008.51984104,"13207"
111443.74306676,-815159.06110484,"20151"
202649.7563388,-455462.03835671,"31185"
199608.84535699,-953847.80378213,"40047"
1637395.97957852,-381146.08008159,"54051"
1275469.09787346,-454392.50906509,"18177"
-249691.50028207,-359863.84169482,"31123"
1046118.23387584,-1052166.57662444,"28003"
1276993.59456065,-261703.85024525,"39171"
-122028.09769141,-966755.33312436,"48195"
1317918.80379438,-85127.29689007,"26049"
1173621.23264076,73122.06604552,"26079"
1489481.15499798,-793195.87200624,"47067"
-3077.95745532,378742.25489619,"38069"
