"long","lat","order","hole","piece","group","id"
1176182.14469093,-1544245.36895301,51,FALSE,"1","01003.1","01003"
1168863.49875288,-1538670.95464041,52,FALSE,"1","01003.1","01003"
1163337.94395951,-1532454.05709723,53,FALSE,"1","01003.1","01003"
1160956.06519593,-1528189.48337838,54,FALSE,"1","01003.1","01003"
1163130.66124463,-1520790.7672889,55,FALSE,"1","01003.1","01003"
1161401.47988856,-1517125.92161718,56,FALSE,"1","01003.1","01003"
1158976.59513667,-1510009.83650331,57,FALSE,"1","01003.1","01003"
1151182.90257877,-1507504.34981383,58,FALSE,"1","01003.1","01003"
1148571.4798359,-1500233.58446846,59,FALSE,"1","01003.1","01003"
1352205.99038517,-1371303.85527205,60,FALSE,"1","01005.1","01005"
1356331.01328595,-1353936.49822558,61,FALSE,"1","01005.1","01005"
1355398.29313798,-1342025.41186591,62,FALSE,"1","01005.1","01005"
1360064.64532332,-1328071.99214477,63,FALSE,"1","01005.1","01005"
1374590.41408418,-1323603.00380165,64,FALSE,"1","01005.1","01005"
1374118.23645391,-1308871.1200493,65,FALSE,"1","01005.1","01005"
1388277.79353909,-1306267.69764311,66,FALSE,"1","01005.1","01005"
1396490.95066052,-1314533.36897761,67,FALSE,"1","01005.1","01005"
1408923.96366885,-1312280.17180012,68,FALSE,"1","01005.1","01005"
1408977.80307061,-1320195.68581172,69,FALSE,"1","01005.1","01005"
1408995.7438459,-1322950.22734437,70,FALSE,"1","01005.1","01005"
1405932.00527382,-1331819.4546999,71,FALSE,"1","01005.1","01005"
1404243.97465224,-1338204.34837072,72,FALSE,"1","01005.1","01005"
1406413.7006726,-1344459.64660781,73,FALSE,"1","01005.1","01005"
1407050.56924326,-1346295.26388109,74,FALSE,"1","01005.1","01005"
1399587.55998085,-1354416.889723,75,FALSE,"1","01005.1","01005"
1380812.94493461,-1357196.62226896,76,FALSE,"1","01005.1","01005"
1382202.82000547,-1366760.21134554,77,FALSE,"1","01005.1","01005"
1351135.63498008,-1372207.92898191,78,FALSE,"1","01005.1","01005"
1352205.99038517,-1371303.85527205,79,FALSE,"1","01005.1","01005"
1174171.78501313,-1244842.05743291,80,FALSE,"1","01007.1","01007"
1183696.24651785,-1243104.00479417,81,FALSE,"1","01007.1","01007"
1185225.98248854,-1228648.98660793,82,FALSE,"1","01007.1","01007"
1192890.82949696,-1227759.55073133,83,FALSE,"1","01007.1","01007"
1191934.8083764,-1220514.38509165,84,FALSE,"1","01007.1","01007"
1203490.48512156,-1213103.10633283,85,FALSE,"1","01007.1","01007"
1207081.65012478,-1212601.61374747,86,FALSE,"1","01007.1","01007"
1208402.59371727,-1221448.53567846,87,FALSE,"1","01007.1","01007"
1223471.92472383,-1232121.28853109,88,FALSE,"1","01007.1","01007"
1227155.63640433,-1255518.93414517,89,FALSE,"1","01007.1","01007"
1213896.55482903,-1257481.67657718,90,FALSE,"1","01007.1","01007"
1186176.12231294,-1262309.03279086,91,FALSE,"1","01007.1","01007"
1185516.06296423,-1257521.08422518,92,FALSE,"1","01007.1","01007"
1176099.24748191,-1258997.35545638,93,FALSE,"1","01007.1","01007"
1174171.78501313,-1244842.05743291,94,FALSE,"1","01007.1","01007"
1203691.39319003,-1144458.82041147,95,FALSE,"1","01009.1","01009"
1206477.84606861,-1138298.7814954,96,FALSE,"1","01009.1","01009"
1217738.22782751,-1131725.84598689,97,FALSE,"1","01009.1","01009"
