"long","lat","order","hole","piece","group","id"
1093752.34154732,-1378544.88135261,1,FALSE,"1","01.1","01"
1093243.66221762,-1374232.95791304,2,FALSE,"1","01.1","01"
1093125.03940212,-1360891.19064757,3,FALSE,"1","01.1","01"
1092939.06809241,-1341457.88320223,4,FALSE,"1","01.1","01"
1092913.95249568,-1338952.44434247,5,FALSE,"1","01.1","01"
1092801.3461421,-1332442.279322,6,FALSE,"1","01.1","01"
1092261.08396663,-1302471.80884549,7,FALSE,"1","01.1","01"
1091979.59580893,-1287597.51452865,8,FALSE,"1","01.1","01"
1091503.29181733,-1263429.79760489,9,FALSE,"1","01.1","01"
1091362.49337933,-1256505.1171212,10,FALSE,"1","01.1","01"
1090913.83944784,-1235042.42532124,11,FALSE,"1","01.1","01"
1090690.79415588,-1223441.61388568,12,FALSE,"1","01.1","01"
1090143.04232547,-1196085.07358319,13,FALSE,"1","01.1","01"
1089758.44792014,-1177734.46103381,14,FALSE,"1","01.1","01"
1089688.65657425,-1172591.31893252,15,FALSE,"1","01.1","01"
1089184.38917229,-1137641.37259498,16,FALSE,"1","01.1","01"
1089131.23448149,-1134497.75267718,17,FALSE,"1","01.1","01"
1088672.76838769,-1108348.18737433,18,FALSE,"1","01.1","01"
1088380.96315065,-1092512.93047561,19,FALSE,"1","01.1","01"
1088128.87133292,-1079278.60217312,20,FALSE,"1","01.1","01"
1088040.10416161,-1074709.77552337,21,FALSE,"1","01.1","01"
1087571.78509374,-1044624.08555451,22,FALSE,"1","01.1","01"
1082007.75629612,-1042031.73992243,23,FALSE,"1","01.1","01"
1076868.75808061,-1034560.22269091,24,FALSE,"1","01.1","01"
1076433.84603656,-1033234.68883765,25,FALSE,"1","01.1","01"
1094828.38897316,-1030865.63223799,26,FALSE,"1","01.1","01"
1096196.52302075,-1030673.46142271,27,FALSE,"1","01.1","01"
1108235.15430335,-1028971.64909105,28,FALSE,"1","01.1","01"
1128779.25565532,-1026189.38132793,29,FALSE,"1","01.1","01"
1130493.6191007,-1025960.46028474,30,FALSE,"1","01.1","01"
1165085.02979419,-1021257.25296575,31,FALSE,"1","01.1","01"
1165752.14238516,-1021164.97117717,32,FALSE,"1","01.1","01"
1166288.83976227,-1021094.30203403,33,FALSE,"1","01.1","01"
1200200.90382381,-1016550.69007439,34,FALSE,"1","01.1","01"
1204965.94632252,-1015899.8984291,35,FALSE,"1","01.1","01"
1204967.75117748,-1015899.62278432,36,FALSE,"1","01.1","01"
1233483.63152218,-1011489.45690371,37,FALSE,"1","01.1","01"
1246917.34231952,-1009264.89941398,38,FALSE,"1","01.1","01"
1247592.04489219,-1009152.52216118,39,FALSE,"1","01.1","01"
1287969.51688397,-1002902.13846775,40,FALSE,"1","01.1","01"
1311309.81261424,-999188.03255213,41,FALSE,"1","01.1","01"
1313238.97943823,-1005664.95954922,42,FALSE,"1","01.1","01"
1315435.51131985,-1012458.69888519,43,FALSE,"1","01.1","01"
1319240.41191396,-1024220.40344705,44,FALSE,"1","01.1","01"
1323827.09172303,-1037638.13935929,45,FALSE,"1","01.1","01"
1325102.66907413,-1041367.40599018,46,FALSE,"1","01.1","01"
1327455.75492038,-1048244.28760483,47,FALSE,"1","01.1","01"
1329252.65169434,-1053493.46361306,48,FALSE,"1","01.1","01"
1333951.76478574,-1067399.21855682,49,FALSE,"1","01.1","01"
1336017.71114633,-1073508.70865071,50,FALSE,"1","01.1","01"
1341809.94733154,-1090624.3945155,51,FALSE,"1","01.1","01"
1343328.22831652,-1095341.39982181,52,FALSE,"1","01.1","01"
1347330.33103584,-1107769.16690602,53,FALSE,"1","01.1","01"
1347330.37518244,-1107769.30394711,54,FALSE,"1","01.1","01"
1349501.78695794,-1114412.26347775,55,FALSE,"1","01.1","01"
1354156.03925051,-1128642.22575791,56,FALSE,"1","01.1","01"
1358152.2054961,-1140859.23236819,57,FALSE,"1","01.1","01"
1362445.34727689,-1153974.54665575,58,FALSE,"1","01.1","01"
1364076.78130558,-1158979.30144265,59,FALSE,"1","01.1","01"
1365976.15134213,-1164804.22744998,60,FALSE,"1","01.1","01"
1376335.42557409,-1196540.35627333,61,FALSE,"1","01.1","01"
1377081.07032072,-1198822.5171776,62,FALSE,"1","01.1","01"
1377081.14305598,-1198822.73978106,63,FALSE,"1","01.1","01"
1385376.38060605,-1224108.24455928,64,FALSE,"1","01.1","01"
1385684.08214718,-1225045.49815176,65,FALSE,"1","01.1","01"
1388435.21732642,-1228455.43054952,66,FALSE,"1","01.1","01"
1393073.16214558,-1236072.0568084,67,FALSE,"1","01.1","01"
1394383.11600462,-1238221.57779578,68,FALSE,"1","01.1","01"
1397991.42538617,-1245730.75911424,69,FALSE,"1","01.1","01"
1399990.99586755,-1250983.75352246,70,FALSE,"1","01.1","01"
1400990.07408056,-1253607.5513999,71,FALSE,"1","01.1","01"
1407812.54546352,-1259060.7390017,72,FALSE,"1","01.1","01"
1408599.20962772,-1260462.15650154,73,FALSE,"1","01.1","01"
1408776.36060479,-1260777.70507482,74,FALSE,"1","01.1","01"
1412462.35414277,-1267339.990015,75,FALSE,"1","01.1","01"
1412682.08668579,-1274470.13441337,76,FALSE,"1","01.1","01"
1412736.29226217,-1276241.82572892,77,FALSE,"1","01.1","01"
1410897.59504684,-1279546.24713949,78,FALSE,"1","01.1","01"
1416289.12882909,-1282045.81221725,79,FALSE,"1","01.1","01"
1422950.21691543,-1285635.50254306,80,FALSE,"1","01.1","01"
1420891.15976464,-1289660.12523373,81,FALSE,"1","01.1","01"
1420144.25271962,-1291118.61084981,82,FALSE,"1","01.1","01"
1414419.01924553,-1295910.83219066,83,FALSE,"1","01.1","01"
1409573.4133207,-1302318.8901806,84,FALSE,"1","01.1","01"
1411480.97182028,-1307443.21665434,85,FALSE,"1","01.1","01"
1411498.43636638,-1310262.40847479,86,FALSE,"1","01.1","01"
1411545.05279601,-1318158.91004286,87,FALSE,"1","01.1","01"
1411560.47964003,-1320906.81725636,88,FALSE,"1","01.1","01"
1408483.37958874,-1329754.99026165,89,FALSE,"1","01.1","01"
1406786.6255482,-1336124.60693606,90,FALSE,"1","01.1","01"
1408954.24885953,-1342364.43390276,91,FALSE,"1","01.1","01"
1409590.49775018,-1344195.50154898,92,FALSE,"1","01.1","01"
1410704.54070342,-1347401.10576156,93,FALSE,"1","01.1","01"
1410713.68016702,-1351630.04476104,94,FALSE,"1","01.1","01"
1418271.07347497,-1358689.88351465,95,FALSE,"1","01.1","01"
1419114.26531639,-1364083.66436818,96,FALSE,"1","01.1","01"
1421058.82369448,-1366676.45317911,97,FALSE,"1","01.1","01"
1420558.29948237,-1369586.00710914,98,FALSE,"1","01.1","01"
1419537.62269968,-1375505.34910689,99,FALSE,"1","01.1","01"
1420680.54507899,-1379458.03552891,100,FALSE,"1","01.1","01"
1419327.7448913,-1387377.99814792,101,FALSE,"1","01.1","01"
1420439.59598363,-1391808.16060228,102,FALSE,"1","01.1","01"
1420570.12434247,-1393243.47203907,103,FALSE,"1","01.1","01"
1420706.81234128,-1394747.38786539,104,FALSE,"1","01.1","01"
1419575.57689086,-1399032.07434978,105,FALSE,"1","01.1","01"
1420830.50000244,-1406902.71085434,106,FALSE,"1","01.1","01"
1428902.61876222,-1414263.04683938,107,FALSE,"1","01.1","01"
1430813.11029324,-1417597.41291957,108,FALSE,"1","01.1","01"
1432092.94184158,-1419830.17627856,109,FALSE,"1","01.1","01"
1433808.20505063,-1425456.53581154,110,FALSE,"1","01.1","01"
1431090.72014244,-1425938.65485075,111,FALSE,"1","01.1","01"
1420260.14185346,-1427829.90554813,112,FALSE,"1","01.1","01"
1402577.65394674,-1431021.16960367,113,FALSE,"1","01.1","01"
1387955.05251574,-1433702.51246063,114,FALSE,"1","01.1","01"
