"x","y","fips"
141120.24654151,-1148890.86832577,"40031"
587925.81825904,-629702.88373312,"29195"
1109182.74151281,-1350203.2276329,"01023"
1416690.14066453,-1351229.30265818,"13061"
1099106.15571085,-290795.34221294,"18091"
1064850.84158459,-433713.04322281,"18171"
1159552.61201184,130518.97416571,"26029"
127526.48691609,-535035.28799874,"31181"
1508661.84527176,-555553.85050875,"39087"
1968034.62381226,-474638.23239471,"51099"
839590.34320776,-1031693.64477788,"05037"
1811216.9201776,-1635330.46266911,"12095"
858765.98229058,-414685.59574077,"17143"
1157314.46068493,-558635.72597036,"18105"
277633.32305764,-664316.76839465,"20061"
1073702.20762747,-1054247.55095468,"28141"
203267.70472347,-494540.36595256,"31059"
2006480.28530808,-157412.81922426,"42025"
-195255.08532371,-1504406.3687539,"48461"
294984.66541694,-1518590.01417929,"48145"
62554.40036998,-1533114.87572224,"48307"
865286.83376681,-158295.53365058,"55025"
796215.58644575,-175927.76481581,"55049"
1132915.75242213,-898330.21149518,"47043"
1244354.78894251,-110696.06756861,"26037"
381217.13661482,-318664.73643229,"19047"
452872.95623677,-779919.22425669,"20011"
59126.38210739,-676057.55709742,"20051"
1799409.6524117,-1751154.59347373,"12049"
28459.5591497,-911334.56700914,"40059"
2323660.39399305,48894.53813461,"44001"
-692037.68619769,-453402.03361339,"08081"
932255.60269276,236561.75745806,"26103"
1335035.55638476,-341529.30438876,"39003"
1497847.29566948,-577769.05205289,"21019"
2043399.70918864,-607971.71823554,"51093"
1345512.50252802,-550060.55901917,"21037"
1765578.31646599,-1513206.95822725,"12107"
1555950.90745246,-1112183.01747035,"13133"
-440331.79122692,-1107864.43784751,"35019"
1097114.26577765,-390050.1573179,"18181"
613721.83550932,-379972.70926815,"19123"
357261.80264845,-242210.35839574,"19035"
1036668.01177841,-830542.63522035,"21157"
1175021.40020137,-311385.2086067,"18085"
1558743.66682557,-372901.21078331,"39059"
1344299.41407143,-831568.06457649,"47049"
1329021.92197507,-933916.02665823,"47007"
129563.25886264,-1990949.17091589,"48247"
908304.49700755,-113188.90709446,"55027"
653204.59176562,-29847.32161826,"55011"
-38403.70265812,-1408785.24853198,"48353"
1234023.25765251,-1445674.69363296,"01053"
936481.5962551,-33244.80788587,"55015"
341305.67620566,-138490.95715133,"27105"
393523.22744567,129271.2267129,"27153"
537391.05830474,-789819.96599186,"29039"
1873421.47037771,-874186.26644582,"37093"
786033.00504203,-516648.67357022,"17009"
787797.7452162,-416622.86212555,"17187"
761569.13011958,-429078.33768577,"17071"
1132412.70891524,-130527.67534669,"26139"
544262.319541,-487726.64700632,"29129"
362905.81847598,-1259368.70380387,"48147"
1845753.2443179,-466794.84676568,"51139"
890605.61385067,-199201.37042041,"55105"
613397.85777641,-983361.67863144,"05101"
-323352.89702171,-519157.6652426,"08087"
1441517.47428314,-1340358.87800668,"13243"
1975962.89735773,-769649.36385887,"37195"
395801.80465029,-240033.20777024,"19021"
1496436.78488979,-697677.34288002,"21119"
889083.67872486,-1613530.3363664,"22093"
1240403.49911424,-368534.25821762,"18179"
60276.24830108,-719561.6430623,"20165"
2125070.92727114,-130529.29526727,"34013"
1994796.60411686,-571058.42948407,"51036"
1720286.65632296,-1042285.10841944,"45063"
1386225.45098953,-891471.25260309,"47145"
1721418.50358574,-1112888.78401971,"45011"
875885.29841523,-70580.14496568,"55047"
-883032.17985331,-467683.64697168,"49013"
1721523.71855299,-951277.52532022,"45023"
987208.10073151,-1059745.5712526,"28009"
1403338.56499091,-678455.9001617,"21065"
1377666.5567733,-1042622.13424433,"13129"
350381.91684082,-503384.94252329,"31127"
619680.30200382,-940027.25169203,"05009"
1897767.68175658,-1674710.48980354,"12009"
1803260.55374923,-1816989.55100616,"12015"
-32138.93990288,-862360.92283766,"20119"
377750.50372691,-857907.51327837,"20125"
1190271.96272384,-237551.93236825,"26149"
-1662316.35804451,287924.24875875,"41027"
1609027.96564474,-438195.79109854,"54073"
1619396.08141217,-1509028.94763215,"12067"
964660.21973301,-680392.97055778,"17081"
1264064.24542275,-541723.82513493,"18137"
375801.26079499,-817192.73415547,"20205"
-79042.05494338,-724060.56237351,"20171"
1276417.85260923,-661655.23826726,"21215"
1244749.92939392,87177.9951938,"26135"
701126.0754604,-610261.04508256,"29007"
-1825393.39106091,208043.08204571,"41003"
474929.33216889,-1347434.07939295,"48459"
-51878.94627132,-1563932.31117403,"48413"
1144009.88916469,-1005002.40055713,"47099"
2024331.89481776,-593326.629824,"51181"
-37796.07857747,-1360199.04491011,"48151"
1693774.14980728,-1086618.3045733,"45003"
348584.34057622,-1369022.6890279,"48257"
1081356.45927647,-662752.32754017,"18051"
453743.55365048,194504.10477019,"27035"
9720.92392662,-768066.43130906,"20083"
1304811.90901452,-463656.1489335,"39135"
1422247.54953384,-1063041.0544875,"13057"
1523846.15529312,-1119870.42764864,"13211"
126774.89307965,-496359.57435774,"31001"
677025.40537518,-544901.97329863,"29205"
586823.7829006,-1184795.93944918,"05109"
201525.31988159,-1392757.43565006,"48221"
980281.44348151,-771751.15533384,"17087"
768058.29131953,-654256.6379936,"29219"
868783.99392571,-344522.14407851,"17011"
-143802.20550156,-341043.73705083,"31075"
1318508.78008197,-604481.20897364,"21187"
149668.81995272,-916816.41432606,"40003"
913243.6400283,-621267.62668191,"17005"
-1188697.98369727,-68986.90670005,"16025"
1236450.40251821,-855160.04079225,"47169"
845419.70528557,-241135.62496017,"17177"
-144539.85844546,263839.80574309,"38057"
1899562.66624563,59559.91876442,"36067"
327139.57687633,-282527.12983373,"19193"
-88019.99550748,236395.21793824,"38065"
969265.84162961,-873793.30829691,"21075"
484869.93247802,-457193.50125771,"19159"
1010448.99172051,-852704.44910512,"21083"
-1197826.34603702,-190914.11900575,"16083"
482980.40634568,-424713.20203663,"19175"
1342826.61711131,-978576.186871,"47065"
912225.14985534,66.4599891,"55087"
1756124.57946827,-382924.33733723,"24023"
1031227.57839192,-624184.15777986,"17159"
1148151.33562711,-168041.05201326,"26005"
2014106.24545321,-924572.11341886,"37129"
173953.69009587,-781239.67062804,"20155"
393570.83879592,-201496.63289155,"19041"
1740915.98829339,-836794.22212157,"37159"
-152796.73097339,-674494.10347398,"20199"
320423.57341259,-1304206.89736145,"48085"
-19097.29438333,-1163301.33210299,"48075"
168530.48004784,-1416102.60228365,"48143"
373093.87771068,-742918.53766353,"20031"
462474.44668532,-313736.89375483,"19073"
374398.7225807,-780924.64051142,"20207"
505721.32539717,-160960.77541038,"19189"
