"x","y","fips","abbr","full","county"
-1290055.27066709,-1645532.70109633,"02185","AK","Alaska","North Slope Borough"
-1374483.25461161,-1758471.01232346,"02188","AK","Alaska","Northwest Arctic Borough"
-721743.55136119,-2112171.74143104,"02195","AK","Alaska","Petersburg Census Area"
-690017.37652338,-2193727.86455142,"02198","AK","Alaska","Prince of Wales-Hyder Census Area"
-781884.45614801,-2130136.90170653,"02220","AK","Alaska","Sitka City and Borough"
-815708.27865074,-2034939.72352201,"02230","AK","Alaska","Skagway Municipality"
-1040333.98017112,-1883070.88609697,"02240","AK","Alaska","Southeast Fairbanks Census Area"
-1042682.26476497,-2004188.30289227,"02261","AK","Alaska","Valdez-Cordova Census Area"
-682172.27431837,-2148127.96889409,"02275","AK","Alaska","Wrangell City and Borough"
-900408.66209422,-2064497.89363341,"02282","AK","Alaska","Yakutat City and Borough"
-1296821.35642682,-1882239.91985453,"02290","AK","Alaska","Yukon-Koyukuk Census Area"
-857243.66354285,-952780.20070846,"04001","AZ","Arizona","Apache County"
-924266.91897889,-1403038.22487525,"04003","AZ","Arizona","Cochise County"
-1060169.03663821,-934894.42314983,"04005","AZ","Arizona","Coconino County"
-990724.29945819,-1197093.45330676,"04007","AZ","Arizona","Gila County"
-931014.92295203,-1292998.04734255,"04009","AZ","Arizona","Graham County"
-863665.12424419,-1247503.77031329,"04011","AZ","Arizona","Greenlee County"
-1288370.91846152,-1130625.11558138,"04012","AZ","Arizona","La Paz County"
-1182865.84516681,-1190119.90891399,"04013","AZ","Arizona","Maricopa County"
-1263119.93100044,-949714.59765402,"04015","AZ","Arizona","Mohave County"
-938946.81968477,-1055446.68914209,"04017","AZ","Arizona","Navajo County"
-1097317.73087719,-1365683.77377147,"04019","AZ","Arizona","Pima County"
-1054525.97425716,-1272519.91323207,"04021","AZ","Arizona","Pinal County"
-1022605.68145025,-1430201.97529916,"04023","AZ","Arizona","Santa Cruz County"
-1161821.5319313,-1075589.60041995,"04025","AZ","Arizona","Yavapai County"
-1299269.9440578,-1258302.58216442,"04027","AZ","Arizona","Yuma County"
792387.91526641,-1140807.81497184,"05001","AR","Arkansas","Arkansas County"
771401.86600398,-1272337.2226327,"05003","AR","Arkansas","Ashley County"
687122.72087165,-929594.13242964,"05005","AR","Arkansas","Baxter County"
501778.78545128,-944157.32547897,"05007","AR","Arkansas","Benton County"
619680.30200382,-940027.25169203,"05009","AR","Arkansas","Boone County"
729796.38510656,-1254978.9973432,"05011","AR","Arkansas","Bradley County"
696417.67024098,-1240909.83823454,"05013","AR","Arkansas","Calhoun County"
584509.101431,-938647.29375492,"05015","AR","Arkansas","Carroll County"
812983.49209261,-1264873.14747726,"05017","AR","Arkansas","Chicot County"
631757.53054022,-1193851.14409507,"05019","AR","Arkansas","Clark County"
870552.80326804,-907812.28932537,"05021","AR","Arkansas","Clay County"
722360.83458397,-1017150.51088694,"05023","AR","Arkansas","Cleburne County"
724975.40321206,-1198798.43436632,"05025","AR","Arkansas","Cleveland County"
633272.46024472,-1283552.48402641,"05027","AR","Arkansas","Columbia County"
665555.39743737,-1046896.34231832,"05029","AR","Arkansas","Conway County"
850666.03847751,-970387.38066751,"05031","AR","Arkansas","Craighead County"
519414.02255714,-1027493.22204816,"05033","AR","Arkansas","Crawford County"
878013.25595178,-1028090.70766898,"05035","AR","Arkansas","Crittenden County"
839590.34320776,-1031693.64477788,"05037","AR","Arkansas","Cross County"
677435.65716313,-1194624.39729064,"05039","AR","Arkansas","Dallas County"
806851.28794879,-1199869.0425467,"05041","AR","Arkansas","Desha County"
769874.01146947,-1228839.29429214,"05043","AR","Arkansas","Drew County"
699268.84230156,-1058459.73011384,"05045","AR","Arkansas","Faulkner County"
556326.54410168,-1027927.35172266,"05047","AR","Arkansas","Franklin County"
