"x","y","order","hole","piece","group","fips","abbr","full"
1390462.05333842,-1237912.99467399,67,FALSE,1,"01.1","01","AL","Alabama"
1391771.69216141,-1240067.62505016,68,FALSE,1,"01.1","01","AL","Alabama"
1395380.61572671,-1247594.59655172,69,FALSE,1,"01.1","01","AL","Alabama"
1397381.54762876,-1252860.02176287,70,FALSE,1,"01.1","01","AL","Alabama"
1398381.30997266,-1255490.04237117,71,FALSE,1,"01.1","01","AL","Alabama"
1405196.99693088,-1260956.73295721,72,FALSE,1,"01.1","01","AL","Alabama"
1405983.59848087,-1262361.51752702,73,FALSE,1,"01.1","01","AL","Alabama"
1406160.73551665,-1262677.82461357,74,FALSE,1,"01.1","01","AL","Alabama"
1409846.45222243,-1269255.91480171,75,FALSE,1,"01.1","01","AL","Alabama"
1410072.42618457,-1276402.86048977,76,FALSE,1,"01.1","01","AL","Alabama"
1410128.1830605,-1278178.73647138,77,FALSE,1,"01.1","01","AL","Alabama"
1408295.70869645,-1281490.74870433,78,FALSE,1,"01.1","01","AL","Alabama"
1413680.31494701,-1283996.85165051,79,FALSE,1,"01.1","01","AL","Alabama"
1420333.34627731,-1287595.82531909,80,FALSE,1,"01.1","01","AL","Alabama"
1418281.56305212,-1291629.76310454,81,FALSE,1,"01.1","01","AL","Alabama"
1417537.29067059,-1293091.62916109,82,FALSE,1,"01.1","01","AL","Alabama"
1411826.28198277,-1297894.5923718,83,FALSE,1,"01.1","01","AL","Alabama"
1406994.86827078,-1304317.38637134,84,FALSE,1,"01.1","01","AL","Alabama"
1408903.92082337,-1309454.21097928,85,FALSE,1,"01.1","01","AL","Alabama"
1408923.96366885,-1312280.17180012,86,FALSE,1,"01.1","01","AL","Alabama"
1408977.80307061,-1320195.68581172,87,FALSE,1,"01.1","01","AL","Alabama"
1408995.7438459,-1322950.22734437,88,FALSE,1,"01.1","01","AL","Alabama"
1405932.00527382,-1331819.4546999,89,FALSE,1,"01.1","01","AL","Alabama"
1404243.97465224,-1338204.34837072,90,FALSE,1,"01.1","01","AL","Alabama"
1406413.7006726,-1344459.64660781,91,FALSE,1,"01.1","01","AL","Alabama"
1407050.56924326,-1346295.26388109,92,FALSE,1,"01.1","01","AL","Alabama"
1408165.69994079,-1349508.84349999,93,FALSE,1,"01.1","01","AL","Alabama"
1408178.72169364,-1353748.14834154,94,FALSE,1,"01.1","01","AL","Alabama"
1415730.02704059,-1360826.25526245,95,FALSE,1,"01.1","01","AL","Alabama"
1416576.80973382,-1366233.44051372,96,FALSE,1,"01.1","01","AL","Alabama"
1418520.54100314,-1368832.87388053,97,FALSE,1,"01.1","01","AL","Alabama"
1418023.54289711,-1371749.56663812,98,FALSE,1,"01.1","01","AL","Alabama"
1417010.03637387,-1377683.46373812,99,FALSE,1,"01.1","01","AL","Alabama"
1418154.72759278,-1381646.11743176,100,FALSE,1,"01.1","01","AL","Alabama"
1416811.4839232,-1389585.66146217,101,FALSE,1,"01.1","01","AL","Alabama"
1417925.60074833,-1394027.04140132,102,FALSE,1,"01.1","01","AL","Alabama"
1418057.24161528,-1395465.9640404,103,FALSE,1,"01.1","01","AL","Alabama"
1418195.09551465,-1396973.66641473,104,FALSE,1,"01.1","01","AL","Alabama"
1417069.67521687,-1401268.96742344,105,FALSE,1,"01.1","01","AL","Alabama"
1418329.81308278,-1409159.5747442,106,FALSE,1,"01.1","01","AL","Alabama"
1426395.5807923,-1416539.52300222,107,FALSE,1,"01.1","01","AL","Alabama"
1428306.0613207,-1419882.57936182,108,FALSE,1,"01.1","01","AL","Alabama"
1429585.889128,-1422121.17021897,109,FALSE,1,"01.1","01","AL","Alabama"
1431303.60355187,-1427762.05200631,110,FALSE,1,"01.1","01","AL","Alabama"
1428590.96808555,-1428245.05387784,111,FALSE,1,"01.1","01","AL","Alabama"
1417779.6923104,-1430139.75352766,112,FALSE,1,"01.1","01","AL","Alabama"
1400128.82301624,-1433336.93809922,113,FALSE,1,"01.1","01","AL","Alabama"
1385532.41398974,-1436023.30945339,114,FALSE,1,"01.1","01","AL","Alabama"
1384618.32641463,-1436190.62011719,115,FALSE,1,"01.1","01","AL","Alabama"
1376940.15625866,-1437591.71713081,116,FALSE,1,"01.1","01","AL","Alabama"
1360897.70061693,-1440494.43271184,117,FALSE,1,"01.1","01","AL","Alabama"
1347333.84009723,-1442962.0151624,118,FALSE,1,"01.1","01","AL","Alabama"
1333969.17730146,-1445135.1603639,119,FALSE,1,"01.1","01","AL","Alabama"
1319578.58152008,-1447449.55335223,120,FALSE,1,"01.1","01","AL","Alabama"
1302769.32183464,-1450119.39975424,121,FALSE,1,"01.1","01","AL","Alabama"
1300529.42082798,-1450467.74784716,122,FALSE,1,"01.1","01","AL","Alabama"
1283980.24962058,-1453021.64796454,123,FALSE,1,"01.1","01","AL","Alabama"
1272161.69137409,-1454766.05137546,124,FALSE,1,"01.1","01","AL","Alabama"
1262927.06933361,-1456116.73505745,125,FALSE,1,"01.1","01","AL","Alabama"
1258540.19582495,-1456754.58408002,126,FALSE,1,"01.1","01","AL","Alabama"
